Experiment_ID	Experiment_Type	Method	TF_Source_Type
exp_1407	binding	emsa	cell_line
exp_1409	binding	emsa	cell_line
exp_1410	binding	emsa	cell_line
exp_1411	binding	emsa	cell_line
exp_1413	binding	chip	not_applicable
exp_1418	binding	chip	not_applicable
exp_1427	binding	chip	not_applicable
exp_1430	binding	chip	not_applicable
exp_1431	binding	emsa	cell_line
exp_1434	binding	emsa	unknown
exp_1436	binding	emsa	unknown
exp_1438	binding	emsa	unknown
exp_1439	binding	chip	not_applicable
exp_1440	binding	emsa	cell_line
exp_1443	binding	emsa	cell_line
exp_1446	binding	chip	not_applicable
exp_1448	binding	chip	not_applicable
exp_1450	binding	chip	not_applicable
exp_1451	binding	chip	not_applicable
exp_1454	binding	chip	not_applicable
exp_1455	binding	emsa	cell_line
exp_1456	binding	emsa	cell_line
exp_1458	binding	chip	not_applicable
exp_1460	binding	chip	not_applicable
exp_1464	binding	chip	not_applicable
exp_1465	binding	chip	not_applicable
exp_1466	binding	chip	not_applicable
exp_1467	binding	chip	not_applicable
exp_1468	binding	chip	not_applicable
exp_1469	binding	emsa	cell_line
exp_1471	binding	chip	not_applicable
exp_1472	binding	chip	not_applicable
exp_1473	binding	emsa	cell_line
exp_1476	binding	chip	not_applicable
exp_1478	binding	chip	not_applicable
exp_1483	binding	chip	not_applicable
exp_1484	binding	chip	not_applicable
exp_1485	binding	chip	not_applicable
exp_1490	binding	chip	not_applicable
exp_1498	binding	emsa	cell_line
exp_1500	binding	emsa	cell_line
exp_1502	binding	emsa	cell_line
exp_1504	binding	emsa	cell_line
exp_1506	binding	emsa	cell_line
exp_1508	binding	emsa	primary_cell
exp_1510	binding	chip	not_applicable
exp_1512	binding	chip	not_applicable
exp_1514	binding	emsa	cell_line
exp_1515	binding	chip	not_applicable
exp_1517	binding	emsa	cell_line
exp_1518	binding	chip	not_applicable
exp_1521	binding	chip	not_applicable
exp_1522	binding	chip	not_applicable
exp_1523	binding	emsa	cell_line
exp_1526	binding	chip	not_applicable
