ChildNode	ParentNode	ChildNode_Long	ParentNode_Long	RelationType	OntologyScope
OBI_0001687	BFO_0000023	http://purl.obolibrary.org/obo/OBI_0001687	http://purl.obolibrary.org/obo/BFO_0000023	is_a	OBI
OBI_0000356	OBI_0000066	http://purl.obolibrary.org/obo/OBI_0000356	http://purl.obolibrary.org/obo/OBI_0000066	is_a	OBI
OBI_0001686	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001686	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
OBI_0000355	OBI_0000066	http://purl.obolibrary.org/obo/OBI_0000355	http://purl.obolibrary.org/obo/OBI_0000066	is_a	OBI
OBI_0001689	OBI_0000070	http://purl.obolibrary.org/obo/OBI_0001689	http://purl.obolibrary.org/obo/OBI_0000070	is_a	OBI
UBERON_0001729	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0001729	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
OBI_0001690	OBI_0000015	http://purl.obolibrary.org/obo/OBI_0001690	http://purl.obolibrary.org/obo/OBI_0000015	is_a	OBI
UBERON_0001728	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0001728	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
OBI_0000361	OBI_0000968	http://purl.obolibrary.org/obo/OBI_0000361	http://purl.obolibrary.org/obo/OBI_0000968	is_a	OBI
OBI_0001692	OBI_0001698	http://purl.obolibrary.org/obo/OBI_0001692	http://purl.obolibrary.org/obo/OBI_0001698	is_a	OBI
UBERON_0001723	UBERON_0000465	http://purl.obolibrary.org/obo/UBERON_0001723	http://purl.obolibrary.org/obo/UBERON_0000465	is_a	OBI
