Experiment_ID	Experiment_Type	Mutated	Binding_Verified
exp_3735	reporter	FALSE	not_applicable
exp_3738	reporter	FALSE	not_applicable
exp_3741	reporter	TRUE	putative
exp_3745	reporter	TRUE	putative
exp_3767	reporter	TRUE	putative
exp_3771	reporter	TRUE	putative
exp_3793	reporter	FALSE	not_applicable
exp_3797	reporter	FALSE	not_applicable
exp_3799	reporter	FALSE	not_applicable
exp_3801	reporter	FALSE	not_applicable
exp_3813	reporter	TRUE	putative
exp_3815	reporter	TRUE	putative
exp_3821	reporter	FALSE	not_applicable
exp_3823	reporter	FALSE	not_applicable
exp_3841	reporter	TRUE	putative
exp_3843	reporter	TRUE	putative
exp_3845	reporter	FALSE	not_applicable
exp_3855	reporter	FALSE	not_applicable
exp_3858	reporter	FALSE	not_applicable
exp_3873	reporter	FALSE	not_applicable
exp_3876	reporter	TRUE	putative
exp_3888	reporter	TRUE	putative
exp_3897	reporter	TRUE	putative
exp_3900	reporter	TRUE	emsa
exp_3902	reporter	FALSE	not_applicable
exp_3905	reporter	FALSE	not_applicable
exp_3912	reporter	TRUE	putative
exp_3918	reporter	TRUE	putative
exp_3919	reporter	TRUE	putative
exp_3930	reporter	FALSE	not_applicable
exp_3933	reporter	TRUE	emsa
exp_3938	reporter	TRUE	emsa
exp_3939	reporter	TRUE	putative
exp_3940	reporter	TRUE	putative
exp_3941	reporter	TRUE	putative
exp_3942	reporter	TRUE	putative
exp_3945	reporter	TRUE	emsa
exp_3949	reporter	TRUE	emsa
exp_3957	reporter	FALSE	not_applicable
exp_3960	reporter	FALSE	not_applicable
exp_3965	reporter	FALSE	not_applicable
exp_3966	reporter	TRUE	putative
exp_3970	reporter	TRUE	putative
exp_3973	reporter	TRUE	emsa
exp_3980	reporter	FALSE	not_applicable
